[2025-11-28 09:37:05] INFO: ✅ 服务器运行在端口 3000
[2025-11-28 09:37:05] INFO: 📊 数据库类型: json
[2025-11-28 09:37:05] INFO: 🔐 环境: development
[2025-11-28 09:37:23] WARN: 登录失败: 用户名或密码错误 (admin)
[2025-11-28 09:41:40] INFO: GET / - 304 (3ms)
[2025-11-28 09:41:42] INFO: GET / - 304 (4ms)
[2025-11-28 09:41:42] INFO: GET /2/files - 304 (5ms)
[2025-11-28 09:41:42] INFO: GET /2/subfolders - 304 (6ms)
[2025-11-28 09:41:42] INFO: GET / - 304 (3ms)
[2025-11-28 09:41:45] WARN: POST /2/move - 403 (3ms)
[2025-11-28 09:42:17] INFO: 用户登录成功: admin
[2025-11-28 09:42:17] INFO: POST /login - 200 (82ms)
[2025-11-28 09:42:17] INFO: GET / - 200 (3ms)
[2025-11-28 09:42:18] INFO: GET / - 200 (2ms)
[2025-11-28 09:42:19] INFO: GET / - 200 (8ms)
[2025-11-28 09:42:19] INFO: GET / - 200 (4ms)
[2025-11-28 09:42:19] INFO: GET /1/files - 200 (10ms)
[2025-11-28 09:42:19] INFO: GET /1/subfolders - 200 (8ms)
[2025-11-28 09:42:21] INFO: GET / - 200 (2ms)
[2025-11-28 09:42:21] WARN: GET /folders/2/subfolders - 429 (1ms)
[2025-11-28 09:42:21] INFO: GET /2/files - 200 (4ms)
[2025-11-28 09:42:21] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:42:22] WARN: GET /folders/2/subfolders - 429 (1ms)
[2025-11-28 09:42:22] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:42:24] WARN: GET /folders/2/subfolders - 429 (0ms)
[2025-11-28 09:42:24] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:42:27] WARN: POST /folders/2/move - 429 (2ms)
[2025-11-28 09:42:28] WARN: GET /folders/2/subfolders - 429 (0ms)
[2025-11-28 09:42:28] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:44:36] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:44:36] WARN: GET /folders/2/subfolders - 429 (1ms)
[2025-11-28 09:44:36] WARN: GET /folders/2/files - 429 (1ms)
[2025-11-28 09:44:36] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:44:38] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:44:38] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:44:38] WARN: GET /folders/2/subfolders - 429 (0ms)
[2025-11-28 09:44:38] WARN: GET /folders/2/files - 429 (1ms)
[2025-11-28 09:44:40] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:44:40] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:44:40] WARN: GET /folders/2/subfolders - 429 (1ms)
[2025-11-28 09:44:40] WARN: GET /folders/2/files - 429 (0ms)
[2025-11-28 09:44:44] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:44:44] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:44:44] WARN: GET /folders/2/subfolders - 429 (0ms)
[2025-11-28 09:44:44] WARN: GET /folders/2/files - 429 (1ms)
[2025-11-28 09:44:46] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:44:46] WARN: GET /folders/2/files - 429 (0ms)
[2025-11-28 09:44:46] WARN: GET /folders/2/subfolders - 429 (1ms)
[2025-11-28 09:44:46] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:44:47] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:44:49] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:44:53] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:45:02] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:45:03] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:45:05] WARN: POST /folders - 429 (1ms)
[2025-11-28 09:45:05] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:45:09] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:45:54] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:45:55] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:45:57] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:46:01] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:46:34] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:46:36] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:46:38] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:46:42] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:46:43] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:46:45] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:46:49] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:47:21] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:47:22] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:47:24] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:47:28] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:47:28] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:47:30] WARN: GET /folders - 429 (0ms)
[2025-11-28 09:47:32] WARN: GET /folders - 429 (1ms)
[2025-11-28 09:47:36] WARN: GET /folders - 429 (1ms)
